clusterid,startdate,tweetcount,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,2017-01-09 01:00:57,10,0.0869301532941944,5.215809197651664,0.0869301532941944,0.0869301532941944,6.954412263535553,0.0869301532941944,0.0869301532941944,0.0869301532941944
1,2017-01-25 14:43:25,10,0.11051352201257866,0.11051352201257866,0.11051352201257866,5.5256761006289326,0.11051352201257866,0.11051352201257866,0.11051352201257866,5.5256761006289326
2,2017-02-07 17:48:38,10,0.17884278606965176,0.17884278606965176,0.17884278606965176,0.17884278606965176,10.730567164179106,0.17884278606965176,0.17884278606965176,0.17884278606965176
3,2017-02-08 16:23:53,10,0.16272792207792208,0.16272792207792208,0.16272792207792208,0.16272792207792208,11.390954545454546,0.16272792207792208,0.16272792207792208,0.16272792207792208
4,2017-02-09 21:26:46,10,0.17044328358208957,0.17044328358208957,0.17044328358208957,0.17044328358208957,10.226597014925373,0.17044328358208957,0.17044328358208957,0.17044328358208957
5,2017-02-10 07:33:51,10,0.06385157642602496,3.8310945855614977,0.06385157642602496,0.06385157642602496,4.469610349821747,0.06385157642602496,0.06385157642602496,0.06385157642602496
6,2017-02-12 19:52:03,10,0.09614379844961243,3.845751937984497,0.09614379844961243,0.09614379844961243,3.845751937984497,0.09614379844961243,0.09614379844961243,0.09614379844961243
7,2017-02-16 21:16:35,10,0.1512824449182658,0.1512824449182658,0.1512824449182658,0.1512824449182658,0.1512824449182658,0.1512824449182658,0.1512824449182658,9.076946695095948
8,2017-02-21 10:07:28,10,0.13660700602079914,0.13660700602079914,0.13660700602079914,10.928560481663931,0.13660700602079914,0.13660700602079914,0.13660700602079914,0.13660700602079914
9,2017-02-27 05:10:31,10,0.09398134920634922,0.09398134920634922,0.09398134920634922,0.09398134920634922,5.638880952380953,0.09398134920634922,0.09398134920634922,5.638880952380953
10,2017-03-04 05:40:01,10,0.0697494292237443,4.184965753424658,0.0697494292237443,0.0697494292237443,0.0697494292237443,0.0697494292237443,0.0697494292237443,5.579954337899544
11,2017-03-10 20:23:18,10,0.06365916305916307,3.8195497835497836,0.06365916305916307,0.06365916305916307,3.182958152958153,0.06365916305916307,0.06365916305916307,3.182958152958153
12,2017-03-24 04:18:50,10,0.09209654272667973,7.3677234181343785,0.09209654272667973,0.09209654272667973,0.09209654272667973,0.09209654272667973,0.09209654272667973,5.525792563600784
13,2017-04-01 04:36:20,10,3.2632352941176466,0.06526470588235293,3.2632352941176466,0.06526470588235293,3.2632352941176466,3.2632352941176466,0.06526470588235293,0.06526470588235293
14,2017-04-07 00:04:45,10,0.1173394636015326,0.1173394636015326,0.1173394636015326,0.1173394636015326,0.1173394636015326,0.1173394636015326,0.1173394636015326,9.387157088122608
15,2017-04-13 13:08:59,10,0.06666449160595503,3.9998694963573014,0.06666449160595503,0.06666449160595503,5.333159328476402,0.06666449160595503,0.06666449160595503,3.9998694963573014
16,2017-04-17 03:51:54,10,0.0893359595959596,4.46679797979798,0.0893359595959596,0.0893359595959596,4.46679797979798,0.0893359595959596,0.0893359595959596,5.360157575757576
17,2017-04-25 07:15:55,10,0.125513698630137,7.530821917808219,0.125513698630137,0.125513698630137,10.04109589041096,0.125513698630137,0.125513698630137,0.125513698630137
18,2017-04-26 21:18:15,10,0.09073706896551724,0.09073706896551724,0.09073706896551724,0.09073706896551724,5.444224137931034,0.09073706896551724,0.09073706896551724,4.5368534482758625
19,2017-04-27 09:16:55,10,0.08308,4.154,0.08308,0.08308,4.984799999999999,0.08308,0.08308,4.984799999999999
20,2017-04-28 03:33:50,10,0.10155890804597702,5.077945402298851,0.10155890804597702,0.10155890804597702,6.093534482758621,0.10155890804597702,0.10155890804597702,0.10155890804597702
21,2017-04-30 22:02:44,10,0.06111853082318199,4.278297157622739,0.06111853082318199,0.06111853082318199,3.667111849390919,0.06111853082318199,0.06111853082318199,4.889482465854559
22,2017-05-08 22:41:28,10,0.07845040404040406,3.9225202020202024,0.07845040404040406,0.07845040404040406,4.707024242424243,0.07845040404040406,0.07845040404040406,3.9225202020202024
23,2017-05-12 20:39:26,10,0.1338539156626506,0.1338539156626506,0.1338539156626506,0.1338539156626506,10.708313253012047,0.1338539156626506,0.1338539156626506,10.708313253012047
