clusterid,startdate,tweetcount,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,2016-01-01 00:24:25,22,1.2579274891774892,0.7401515151515152,1.1249080086580088,1.1792911255411256,1.9445032467532466,0.5900974025974026,0.2746590909090909,2.7196709956709957
1,2016-01-07 21:19:23,12,0.19852777777777778,1.313968253968254,0.0,0.19852777777777778,2.384575396825397,0.22130555555555553,0.4072222222222222,4.21040873015873
2,2016-01-08 23:13:58,14,0.38285714285714284,2.878958333333333,0.7885714285714285,0.9771428571428571,2.5904166666666666,1.243392857142857,1.4980952380952384,3.162607142857142
3,2016-01-13 02:14:49,23,0.685695652173913,0.9983619424054205,0.265304347826087,1.3266304347826088,1.3337194303281261,0.8514275362318842,1.130116600790514,2.953415835372357
4,2016-01-13 02:43:08,28,0.8967857142857143,1.0612585034013606,0.6057142857142858,1.152315476190476,1.410325680272109,0.6982142857142856,0.7476488095238096,3.311585884353742
5,2016-01-15 17:30:52,14,0.07357142857142858,2.2454107142857143,0.3157142857142857,0.42952380952380953,1.5121190476190474,0.09314285714285715,0.27999999999999997,2.4975833333333335
6,2016-01-20 17:45:12,21,0.6543888888888889,1.190452380952381,0.41964285714285715,0.7677539682539682,1.9483730158730161,0.500484126984127,0.7426666666666667,2.965388888888888
7,2016-01-27 22:46:25,12,0.5333333333333333,2.239291666666667,0.0,0.9623333333333335,3.246152777777777,0.0,1.2273333333333334,3.6795833333333334
8,2016-01-31 17:40:39,14,0.7641904761904763,2.186785714285714,0.0,0.6856190476190477,1.598095238095238,0.631904761904762,1.0755238095238095,3.544523809523809
9,2016-02-06 17:04:05,19,0.47090225563909777,1.1316716791979948,0.2263157894736842,0.8402706766917293,1.9420751879699245,0.5308070175438597,0.5737092731829574,3.7095701754385977
10,2016-02-14 19:49:16,27,0.596141975308642,1.170654320987654,0.3805996472663139,0.8801552028218695,1.306648148148148,0.8644268077601411,0.43379629629629624,3.1299303350970016
