clusterid,startdate,tweetcount,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,2017-01-05 18:48:36,3,1.105,1.105,0.0,0.0,3.3575,1.105,2.3666666666666667,3.095
1,2017-01-09 20:34:00,3,0.0,3.3692424242424246,0.0,0.0,5.316212121212121,0.0,2.0940909090909092,3.2778030303030303
2,2017-01-11 08:06:54,3,0.0,2.301111111111111,0.0,2.301111111111111,0.5741666666666666,0.0,2.0425,1.64
3,2017-01-13 13:10:16,3,2.2583333333333333,3.9109523809523807,0.0,2.2583333333333333,4.239047619047619,0.0,2.813333333333333,3.7723809523809524
4,2017-01-25 12:11:15,3,0.0,0.0,0.0,0.91,2.393333333333333,0.91,0.91,3.733333333333334
5,2017-02-02 18:33:09,3,2.9758333333333336,0.9249999999999999,0.0,0.46249999999999997,0.0,0.0,2.5233333333333334,0.46249999999999997
6,2017-02-13 20:33:31,3,1.3949999999999998,3.4716666666666662,0.0,1.3949999999999998,1.3949999999999998,0.0,0.0,2.2733333333333334
7,2017-03-02 18:19:13,3,2.2733333333333334,5.229166666666667,2.686666666666667,2.2733333333333334,5.229166666666667,0.0,2.686666666666667,5.229166666666667
8,2017-03-13 22:37:54,3,0.0,5.14,0.0,0.0,5.6925,0.0,0.5933333333333334,2.3091666666666666
9,2017-03-17 16:47:23,3,0.0,4.337,0.0,0.0,3.8693333333333335,0.0,0.9653333333333333,3.812333333333333
10,2017-03-24 13:31:40,3,0.0,2.295,2.106666666666667,0.0,2.295,0.0,0.0,3.8269444444444445
11,2017-03-30 09:04:54,3,1.7676190476190474,1.0587619047619048,0.0,1.7676190476190474,1.4426666666666668,2.4933333333333336,1.4426666666666668,1.4426666666666668
12,2017-04-11 08:39:37,3,0.0,6.496095238095237,0.0,0.0,3.938,0.0,0.0,1.8114285714285716
13,2017-04-18 23:32:12,3,0.0,4.430555555555556,0.0,0.0,1.3966666666666667,0.0,2.6583333333333337,1.765
14,2017-04-25 12:14:29,3,0.0,2.31,0.0,0.0,4.722857142857143,0.0,0.0,0.30952380952380953
15,2017-05-07 15:32:37,3,0.0,2.1266666666666665,0.0,0.0,5.203333333333333,0.0,0.0,0.0
16,2017-05-18 19:47:08,3,2.0233333333333334,4.77,0.0,2.0233333333333334,2.813333333333333,0.0,0.0,2.813333333333333
17,2017-05-23 16:57:29,3,0.41933333333333334,0.5179999999999999,0.0,0.41933333333333334,3.8602222222222218,0.0,0.0,6.176222222222222
18,2017-05-29 17:03:06,3,0.0,4.721111111111111,0.0,0.0,2.813333333333333,0.0,0.0,5.533888888888889
19,2017-06-04 00:53:32,3,0.0,6.276666666666666,0.0,0.0,2.736666666666667,0.0,0.0,2.736666666666667
20,2017-06-08 17:29:28,3,0.0,2.685666666666666,0.0,0.0,3.3120952380952384,0.844,1.3473333333333333,4.6422380952380955
21,2017-06-19 15:34:03,3,0.0,3.1733333333333333,0.0,1.622222222222222,0.8655555555555555,0.0,2.3922222222222222,2.31
22,2017-06-29 17:09:37,3,0.0,4.175,2.1866666666666665,0.0,4.901666666666666,0.0,2.4899999999999998,4.175
23,2017-07-09 17:24:11,3,2.0766666666666667,3.841428571428571,2.0766666666666667,2.6271428571428572,5.069047619047619,2.0766666666666667,2.0766666666666667,4.583333333333333
24,2017-07-17 20:21:59,3,0.0,3.5366666666666666,0.0,0.0,0.0,1.092857142857143,0.0,1.4152380952380952
25,2017-07-22 10:03:16,3,0.0,4.346666666666667,0.0,2.27,4.566666666666666,0.0,0.0,0.0
26,2017-07-23 18:57:48,3,3.4837037037037035,3.192361111111111,0.0,0.0,4.239444444444445,0.0,1.83875,2.5906944444444444
27,2017-07-24 17:02:18,3,0.0,2.5821111111111112,0.0,0.7861111111111113,2.908962962962963,0.8818888888888888,0.498,2.7122222222222216
28,2017-08-02 11:58:23,3,0.0,3.0785714285714287,0.0,0.0,3.0785714285714287,0.0,0.5319047619047619,6.739285714285714
29,2017-08-07 18:04:10,3,0.424,3.4825,0.0,0.0,4.191333333333333,0.0,0.424,5.175666666666666
30,2017-08-21 17:01:29,3,1.4366666666666665,0.28814814814814815,0.0,0.0,1.7862962962962963,0.0,0.28814814814814815,3.7492592592592593
31,2017-08-28 17:33:06,3,0.0,3.8466666666666662,0.0,0.0,0.0,0.0,0.0,2.0566666666666666
32,2017-09-05 17:30:06,3,0.5809523809523809,5.211666666666667,0.0,0.5809523809523809,4.455,0.5809523809523809,0.3233333333333333,3.0838095238095242
33,2017-09-12 19:00:04,3,2.6999999999999997,3.7600000000000002,0.0,1.3866666666666667,6.460000000000001,0.0,6.460000000000001,3.1725
34,2017-09-22 17:00:04,3,0.0,4.956666666666667,0.0,2.18,2.736666666666667,0.0,0.0,2.736666666666667
35,2017-09-29 11:33:58,3,0.5591666666666667,2.16,0.0,0.5591666666666667,5.066666666666667,0.0,2.7191666666666667,3.78
36,2017-10-11 09:49:10,3,0.0,4.961833333333334,0.0,0.0,4.199333333333333,0.0,1.3733333333333333,3.7806666666666664
37,2017-10-16 18:00:05,3,0.0,0.0,4.226666666666667,1.6437037037037037,0.0,1.6437037037037037,0.0,1.9133333333333338
38,2017-10-23 21:18:14,3,2.21,4.095,0.0,0.0,2.7260000000000004,2.3850000000000002,2.462333333333333,3.968
39,2017-10-30 18:00:04,3,0.0,1.8422222222222222,0.0,0.0,5.288888888888889,0.0,0.0,5.614444444444445
40,2017-11-08 18:30:01,3,0.0,2.974880952380952,0.0,0.0,3.5585714285714283,0.0,1.6952380952380954,1.8291666666666666
41,2017-11-17 08:29:29,3,0.0,0.9309523809523811,0.30095238095238097,2.2966666666666664,0.0,4.0,0.0,0.9028571428571429
42,2017-11-30 17:48:45,3,0.0,3.7816666666666663,0.0,0.0,0.8144444444444444,0.0,0.43166666666666664,1.4922222222222221
43,2017-12-07 21:09:12,3,0.0,2.641,0.0,0.0,5.901,0.0,0.0,4.634904761904761
44,2017-12-16 20:57:18,3,0.0,4.757380952380952,0.0,0.0,7.449761904761904,0.0,1.944047619047619,6.664047619047619
45,2017-12-20 18:02:08,3,0.0,2.2733333333333334,0.0,0.0,0.0,2.02,2.4233333333333333,0.0
46,2017-12-30 09:00:06,1,0.0,5.455,0.0,0.0,5.455,0.0,5.455,0.0
