clusterid,date,tweetcount,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,2017-01-09 01:00:57,10,0.11850000000000001,3.193228571428572,0.0,0.7825,4.873030952380953,0.9869999999999999,0.784,1.9535428571428575
1,2017-01-25 14:43:25,10,0.6626000000000001,1.5408000000000002,0.6626000000000001,1.9467333333333336,2.0658000000000003,0.8276999999999999,0.9550000000000001,3.0532
2,2017-02-07 17:48:38,10,1.1564999999999999,1.0691000000000002,0.0,0.3465,3.9455999999999998,1.0423333333333333,2.0378333333333334,2.3846
3,2017-02-08 16:23:53,10,0.8153333333333332,2.574583333333333,0.2952,0.38433333333333336,4.7646,0.0,0.747,2.9490000000000003
4,2017-02-09 21:26:46,10,0.0,1.9373999999999998,0.0,1.0635,3.694,1.0775,1.2635,2.3838
5,2017-02-10 07:33:51,10,0.12533333333333332,2.478583333333333,0.7273333333333334,0.25066666666666665,3.402609848484848,0.12533333333333332,0.941090909090909,0.6328636363636363
6,2017-02-12 19:52:03,10,0.44800000000000006,1.9138333333333333,0.161,0.8644999999999999,3.0332,0.7035,0.0,1.1443333333333334
7,2017-02-16 21:16:35,10,1.139714285714286,0.7489000000000001,0.9290476190476191,0.9493809523809524,2.4554,1.064447619047619,0.32399999999999995,2.525033333333333
8,2017-02-21 10:07:28,10,0.4871428571428572,0.8568333333333333,0.42733333333333334,2.8558095238095236,3.3257619047619054,1.3998095238095238,1.4395,1.0926190476190476
9,2017-02-27 05:10:31,10,0.0641,2.3104500000000003,0.0,0.15,4.01905,1.5012,1.4609999999999999,2.3358499999999998
10,2017-03-04 05:40:01,10,0.0,2.5515833333333338,0.0,0.48533333333333334,2.2630000000000003,0.0,0.3765,4.507
11,2017-03-10 20:23:18,10,0.267,2.9184761904761904,0.8176666666666668,0.267,2.3751428571428574,0.267,0.7554761904761905,2.836
12,2017-03-24 04:18:50,10,0.0,5.115666666666667,0.0,0.8720000000000001,2.519,0.8720000000000001,0.8912857142857142,3.176142857142857
13,2017-04-01 04:36:20,10,2.343,1.721,2.2073333333333336,0.7424999999999999,2.0840833333333335,1.9368333333333332,0.632,1.64725
14,2017-04-07 00:04:45,10,0.362,1.3053666666666666,0.0,0.3493333333333334,2.839266666666667,0.2625,0.3846,4.705466666666667
15,2017-04-13 13:08:59,10,0.6100909090909091,2.2243809523809523,0.281,0.5442727272727274,4.574017316017317,0.6100909090909091,0.757987012987013,4.064380952380953
16,2017-04-17 03:51:54,10,1.2175,3.2383499999999996,0.0,0.40750000000000003,3.40665,0.0,2.27975,4.190683333333334
17,2017-04-25 07:15:55,10,0.77,3.87475,0.77,0.77,5.405499999999999,1.2810000000000001,2.869,2.58475
18,2017-04-26 21:18:15,10,0.433,1.189,0.414,0.46399999999999997,3.8274999999999997,0.0,0.725,3.4730000000000003
19,2017-04-27 09:16:55,10,0.0,2.9033333333333333,0.0,1.7193333333333336,4.034333333333333,1.6753333333333333,0.8586666666666666,3.348
20,2017-04-28 03:33:50,10,0.40499999999999997,2.7194999999999996,0.0,0.6196666666666666,4.101,0.6196666666666666,0.40499999999999997,2.911
21,2017-04-30 22:02:44,10,0.442,3.146222222222222,0.157,0.0,2.7881388888888887,0.442,2.4151904761904768,3.749932539682539
22,2017-05-08 22:41:28,10,0.0,2.391440476190476,1.4002,0.7372,4.552392857142857,0.19066666666666665,1.6890595238095236,1.9833571428571433
23,2017-05-12 20:39:26,10,2.3796666666666666,2.2462500000000003,2.2586666666666666,3.177166666666667,4.4999166666666675,2.5476666666666667,1.3484166666666666,3.7619999999999996
24,2017-05-13 09:28:21,10,1.08075,3.80475,0.246,0.8077500000000001,3.8972499999999997,0.8077500000000001,1.2891499999999998,2.51085
25,2017-05-16 19:29:45,10,0.0,2.9505000000000003,0.0,0.0,2.0323333333333333,0.17033333333333334,0.7809999999999999,1.96825
26,2017-05-19 03:40:57,10,0.0,1.61665,0.0,0.5945,1.2165000000000001,0.764,0.0,2.700775
27,2017-05-20 23:32:08,10,0.8133333333333332,2.436460317460317,0.0,2.084041666666667,1.650888888888889,2.084041666666667,0.427888888888889,1.804188888888889
28,2017-05-22 15:06:33,10,1.2927333333333333,2.43475,0.0,1.5474,1.8750666666666667,0.7494,0.623,3.5336666666666674
29,2017-05-25 15:35:08,10,0.12,1.0683333333333334,0.0,0.231,2.6835,0.818,0.3206666666666666,4.5615000000000006
30,2017-05-28 00:44:57,10,0.5471999999999999,2.3570333333333333,0.5471999999999999,0.6284,3.0977,1.6467000000000003,0.0,2.6177
31,2017-06-04 18:36:26,10,0.0,2.298,0.0,1.33,2.367,0.6799999999999999,0.0,1.9164999999999999
32,2017-06-08 07:54:21,10,0.0,1.9361666666666668,1.20375,0.0,1.869333333333333,0.0,0.0,4.356916666666667
33,2017-06-09 08:04:11,10,0.0,1.591,0.753,0.0,3.4546,0.0,1.0013999999999998,4.2809
34,2017-06-09 23:20:03,10,0.0,4.142083333333334,0.311,0.9120000000000001,1.9255833333333332,0.5385,0.35374999999999995,2.50575
35,2017-06-11 01:08:57,10,0.6752857142857145,4.239419047619047,0.9724857142857145,1.5412857142857146,3.017719047619048,1.2222,1.5984000000000003,2.3467857142857147
36,2017-06-11 22:07:43,10,0.0,2.321107142857143,0.0,1.1560000000000001,1.6212666666666666,1.2220416666666665,0.6308333333333334,2.091957142857143
37,2017-06-12 23:08:49,10,0.0,1.0455,0.7518571428571429,1.6470000000000002,1.5106249999999999,0.9580000000000002,0.7287857142857144,3.2936666666666667
38,2017-06-14 18:58:40,10,1.5740476190476191,2.0436761904761904,1.3407142857142857,1.0540476190476191,1.2068,1.5067142857142857,1.4401333333333333,1.3969714285714285
39,2017-06-14 22:34:35,10,1.8855,1.1850833333333335,0.364,1.4322857142857142,3.2447738095238092,0.6592857142857143,2.7969166666666667,2.9580595238095237
40,2017-06-15 20:20:17,10,0.27640000000000003,0.8070999999999999,0.0,0.30920000000000003,1.9627666666666665,0.0,1.0356,4.119400000000001
41,2017-06-15 23:29:45,10,0.623,2.0133928571428568,0.8487500000000001,0.8487500000000001,2.4695238095238095,0.8487500000000001,2.2878333333333334,2.818095238095238
42,2017-06-16 20:08:40,10,0.7476,3.286964285714286,1.8215999999999997,2.1576999999999997,3.24045,3.31085,2.5085333333333333,2.1020857142857143
43,2017-06-25 00:12:55,10,0.9526666666666668,2.2225666666666664,0.5476666666666666,0.8572666666666666,3.6653666666666664,1.223666666666667,1.3858666666666666,2.690866666666667
44,2017-06-30 23:00:16,10,0.6316666666666666,2.878925,0.41933333333333334,0.33383333333333337,2.708575,0.41933333333333334,1.561785714285714,2.7284250000000005
45,2017-07-19 06:28:15,10,0.28525,1.9374666666666667,0.198,0.45791666666666664,2.4619166666666668,1.57605,0.3853,2.4131166666666664
46,2017-07-26 23:44:22,10,0.28338095238095234,0.37345833333333334,0.590625,1.397875,1.5201249999999997,0.8683333333333334,1.5416750000000001,1.5342714285714283
47,2017-08-02 23:04:53,11,0.23509090909090907,0.9056363636363636,0.0,0.0,0.825,0.0,1.9726969696969696,4.128818181818182
48,2017-08-22 06:01:48,10,1.8449166666666668,2.7540000000000004,0.0,0.8709999999999999,2.809916666666667,0.5269999999999999,1.5154999999999998,2.242916666666667
49,2017-08-30 04:05:28,10,1.9591999999999998,1.9314642857142854,0.0,1.7152857142857143,3.3504642857142857,1.1755833333333334,0.9262857142857144,2.731992857142857
50,2017-09-21 03:10:55,10,0.36383333333333334,2.043166666666667,0.6418333333333333,1.3668333333333333,3.382416666666667,0.7458333333333333,1.6278333333333332,2.694838888888889
51,2017-09-29 22:02:01,11,0.0890909090909091,2.1801818181818184,0.8118181818181818,0.6836363636363637,2.305090909090909,0.41318181818181815,0.6734545454545455,3.0020909090909096
52,2017-10-23 19:49:10,10,0.2565,2.578875,0.4923333333333333,0.6031666666666666,3.7193750000000003,0.06766666666666667,1.4594166666666668,5.472916666666666
53,2017-11-04 06:44:41,10,0.6246500000000001,0.9807499999999999,0.2001,0.5517333333333333,0.40225,0.6749166666666667,0.8764166666666666,2.6582500000000002
54,2017-11-20 03:02:12,10,0.8385999999999999,2.4436555555555555,1.0840555555555558,0.20170000000000005,1.9157555555555554,0.4560444444444444,1.7417500000000001,2.2098555555555555
55,2017-11-30 19:14:01,10,0.6016,2.497385714285714,1.0271071428571428,1.40025,2.2725333333333335,0.6016,0.7070000000000001,2.2228190476190477
56,2017-12-11 07:33:36,10,0.36540512820512827,2.8345499999999997,0.592071794871795,0.8387384615384615,3.008770512820513,0.32553846153846155,1.6346862637362638,2.798320879120879
57,2017-12-16 19:51:28,10,0.24897142857142857,3.30477619047619,0.22537142857142856,0.5964,3.772528571428571,0.8285714285714285,0.9949285714285713,1.3229285714285715
58,2017-12-21 20:03:02,2,0.0,11.316666666666666,0.0,0.0,11.316666666666666,1.9750000000000003,3.385,3.385
