word	valence	arousal	dominance

abduction	2.76	5.53	3.49
able	6.74	4.30	6.83
abortion	3.50	5.39	4.59
absent	3.69	4.73	4.35
absurd	4.26	4.36	4.73
abundance	6.59	5.51	5.80
abuse	1.80	6.83	3.69
accept	6.80	5.53	5.41
acceptance	7.98	5.40	6.64
access	6.14	5.07	6.25
accident	2.05	6.26	3.76
accord	5.53	4.24	5.31
accost	4.28	5.24	4.38
accuse	2.54	6.57	4.07
ace	6.88	5.50	6.39
ache	2.46	5.00	3.54
achievement	7.89	5.53	6.56
acre	5.66	4.90	6.04
action	6.63	6.53	5.63
activate	5.46	4.86	5.43
actor	7.13	6.07	4.97
ad	5.00	4.29	5.00
adapt	5.72	4.52	5.43
addict	2.48	5.66	3.72
addicted	2.51	4.81	3.46
adhere	5.03	4.07	4.33
adjust	5.25	5.39	4.86
admire	7.63	6.20	6.27
admired	7.74	6.11	7.53
admit	4.93	4.97	4.45
adopt	6.52	4.71	5.88
adorable	7.81	5.12	5.74
adore	7.22	5.74	5.19
adorn	6.11	4.56	5.22
adult	6.49	4.76	5.75
advantage	6.95	4.76	6.36
adventure	7.60	6.98	6.46
advice	6.17	5.17	5.47
affair	3.12	6.21	3.71
affection	8.39	6.21	6.08
affectionate	7.20	5.67	5.57
affirm	6.17	4.79	6.07
afford	6.27	5.31	5.76
afraid	2.00	6.67	3.98
aggravated	2.66	5.79	4.28
aggravation	2.10	6.10	3.83
aggressive	5.10	5.83	5.59
agility	6.46	4.85	5.87
agony	2.43	6.06	4.02
agree	7.00	4.59	6.28
agreement	7.08	5.02	6.22
aid	6.93	5.41	5.55
ail	3.70	4.59	4.21
air	6.34	4.12	5.10
airplane	6.43	6.77	3.73
airport	5.90	5.97	4.41
alarm	2.86	7.36	3.75
album	6.21	5.18	5.04
alcohol	5.97	5.94	5.50
alcoholic	2.84	5.69	4.45
alcove	5.32	4.19	4.93
alert	6.20	6.85	5.96
alien	5.60	5.45	4.64
alimony	3.95	4.30	4.63
alive	7.25	5.50	6.39
allege	4.37	3.87	4.77
allergy	3.07	4.64	3.21
alley	4.48	4.91	4.00
alone	2.41	4.83	3.70
